Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
DF,82,76,67,74,74,84,77
DF,81,76,48,71,76,83,78
DF,76,90,69,70,74,69,81
DF,77,65,52,67,65,78,78
DF,81,69,46,65,67,81,83
DF,81,78,47,68,72,81,76
DF,77,83,55,70,75,70,75
DF,78,68,55,71,70,77,68
DF,80,68,50,65,65,84,76
DF,77,34,47,62,54,79,75
DF,76,73,45,59,70,77,73
DF,79,80,60,75,77,76,75
DF,78,67,50,67,67,78,78
DF,78,78,65,74,73,75,76
DF,80,47,45,64,59,81,81
DF,78,78,52,70,74,78,78
DF,88,67,39,70,69,89,87
DF,84,78,48,71,75,85,82
DF,75,71,59,69,70,73,76
DF,76,49,39,58,51,77,81
DF,77,75,54,63,70,76,83
DF,77,81,35,71,68,73,72
DF,78,77,40,71,65,79,78
DF,79,74,62,72,77,77,72
DF,76,78,36,64,74,76,74
DF,78,78,49,70,68,77,78
DF,76,67,58,66,64,78,71
DF,79,71,37,53,59,79,77
DF,79,64,44,67,64,78,80
DF,76,74,46,70,72,74,67
DF,76,77,66,68,77,76,77
DF,76,43,36,54,54,76,84
DF,77,82,57,72,76,71,73
DF,85,73,44,70,73,86,76
DF,77,34,36,60,58,77,78
DF,75,59,59,65,61,75,77
DF,79,70,43,68,73,80,73
DF,79,80,50,72,74,74,70
DF,77,88,65,73,72,72,70
DF,76,70,53,69,73,76,77
DF,75,68,51,64,69,76,77
DF,79,66,66,83,82,76,69
DF,78,63,43,60,67,80,84
DF,79,82,50,64,70,81,76
DF,83,64,40,56,69,85,79
DF,77,35,55,65,62,78,82
DF,76,80,62,76,74,68,78
DF,80,73,50,70,70,81,77
DF,78,52,51,73,72,80,74
DF,80,77,62,75,73,78,74
DF,80,63,54,74,73,80,75
DF,76,57,55,72,67,78,63
DF,87,75,43,75,76,87,83
DF,76,69,38,57,63,76,79
DF,79,87,66,67,74,76,80
DF,76,39,50,61,66,77,75
DF,77,78,61,76,77,72,66
DF,80,82,57,72,76,75,78
DF,77,76,36,63,66,78,76
DF,79,80,37,64,69,79,80
DF,79,77,66,71,75,75,76
DF,81,76,53,75,77,82,81
DF,77,54,49,52,57,79,75
DF,79,91,65,72,75,74,81
DF,79,57,48,60,59,80,81
DF,76,32,50,55,56,77,77
DF,78,72,43,61,67,78,82
DF,77,46,43,57,67,79,67
DF,80,54,73,78,70,79,85
DF,76,65,46,70,74,76,67
DF,76,69,37,66,63,77,77
DF,79,75,63,70,76,76,80
DF,78,74,56,54,59,79,82
DF,77,62,38,62,60,77,81
DF,80,76,46,67,71,83,74
DF,76,82,44,62,67,74,86
DF,79,75,57,70,76,79,78
DF,78,76,64,73,78,73,75
DF,85,85,50,69,71,85,82
DF,81,81,74,80,81,74,69
DF,84,76,53,72,75,84,77
DF,78,65,39,59,48,80,79
DF,81,58,42,62,65,83,76
DF,75,59,52,52,57,76,81
DF,77,63,36,59,65,78,83
DF,79,85,75,73,80,73,68
DF,82,83,67,73,76,79,80
DF,80,63,47,63,67,79,76
DF,77,66,37,62,61,78,78
DF,75,73,40,62,64,73,73
DF,76,75,53,67,72,78,68
DF,76,84,62,71,74,73,68
DF,79,83,53,72,77,76,79
DF,76,79,69,73,76,71,68
DF,78,78,58,72,76,74,77
DF,76,57,41,54,58,78,72
DF,76,66,57,66,63,78,73
DF,76,88,41,55,67,76,77
DF,76,84,51,67,71,73,78
DF,76,71,44,65,65,76,75
DF,77,74,57,68,69,78,70
DF,81,80,32,64,67,82,80
DF,76,55,45,58,65,77,77
DF,80,78,57,75,79,77,75
DF,76,58,58,72,72,77,72
DF,78,76,57,71,74,73,78
DF,76,75,47,68,74,73,71
DF,78,81,72,79,76,70,80
DF,79,77,47,75,72,79,73
DF,76,74,49,66,67,74,66
DF,78,78,56,70,73,73,72
DF,77,63,70,81,81,73,66
DF,78,78,58,70,71,74,82
DF,84,71,59,78,79,85,81
DF,79,62,30,56,63,80,80
DF,78,73,41,59,61,79,73
DF,79,32,52,69,65,81,79
DF,76,78,54,67,76,73,73
DF,82,61,39,68,65,83,80
DF,77,79,63,73,81,70,71
DF,77,51,29,44,56,78,83
DF,76,74,46,68,73,74,68
DF,76,76,56,70,73,74,60
DF,84,68,46,59,66,85,81
DF,77,54,50,57,58,78,79
DF,75,85,56,58,60,76,78
DF,76,82,56,70,75,72,79
DF,87,82,39,70,74,87,83
DF,78,55,35,57,61,80,73
DF,78,59,50,63,63,78,77
DF,79,72,74,73,75,76,80
DF,75,81,54,63,69,72,77
DF,81,78,40,64,72,81,80
DF,79,33,41,62,63,83,67
DF,79,64,45,62,68,80,77
DF,82,85,63,77,80,79,79
DF,84,73,35,77,78,83,80
DF,76,56,42,59,67,80,71
DF,76,78,61,68,73,74,77
DF,80,81,47,64,69,80,78
DF,77,33,42,58,53,78,78
DF,82,70,51,67,64,83,79
DF,78,75,27,47,50,77,88
DF,78,70,37,49,56,78,78
DF,80,81,64,70,80,79,72
DF,78,90,72,75,76,70,73
DF,86,69,41,63,61,86,82
DF,76,55,50,63,65,76,79
DF,76,80,42,61,64,76,75
DF,80,80,55,74,71,79,76
DF,77,93,58,66,77,78,73
DF,78,45,42,54,57,82,76
DF,76,87,70,67,78,72,81
DF,85,61,44,61,69,87,83
DF,78,77,52,70,75,77,73
DF,79,72,46,69,67,80,79
DF,79,41,52,68,65,80,80
DF,76,72,37,64,65,76,79
DF,77,67,67,67,69,74,85
DF,82,76,52,79,76,79,72
DF,76,73,47,67,69,75,77
DF,77,63,37,62,61,78,76
DF,77,83,56,71,77,72,66
DF,75,59,56,66,68,77,72
DF,79,53,43,57,63,83,69
DF,77,64,48,59,63,79,73
DF,87,79,56,75,74,89,81
DF,81,74,43,67,69,81,82
DF,76,56,51,62,63,77,73
DF,76,49,40,55,62,78,69
DF,79,82,52,70,79,76,70
DF,76,83,64,75,74,71,68
DF,78,54,33,56,56,79,79
DF,76,77,55,69,69,77,75
DF,76,65,53,64,67,77,71
DF,76,71,27,59,61,76,74
DF,83,89,74,77,80,78,73
DF,81,72,39,65,72,82,77
DF,76,49,43,66,63,79,71
DF,81,85,61,81,78,73,78
DF,76,68,74,72,71,74,82
DF,77,67,37,57,58,77,85
DF,78,81,63,74,76,73,80
DF,78,79,63,75,78,73,65
DF,76,68,37,57,61,76,82
DF,78,89,49,69,77,71,69
DF,86,81,58,79,81,81,79
DF,81,63,35,57,57,83,79
DF,77,71,40,55,59,78,80
DF,78,83,52,71,71,75,71
DF,80,78,57,70,76,79,71
DF,78,79,50,73,72,78,70
DF,83,74,74,82,82,80,84
DF,82,73,49,64,69,83,77
DF,79,61,52,58,64,81,79
DF,89,75,73,83,76,90,82
DF,79,76,55,69,65,79,76
DF,76,75,36,62,63,76,77
DF,82,64,42,65,65,84,78
DF,84,77,60,74,76,85,83
FW,77,73,75,75,73,50,81
FW,83,78,82,84,84,63,68
FW,79,88,74,72,83,31,59
FW,78,48,79,72,77,37,78
FW,78,73,78,74,78,49,74
FW,79,69,81,72,77,41,79
FW,80,80,78,77,84,40,67
FW,76,66,79,69,70,48,84
FW,79,85,78,63,77,46,78
FW,78,78,73,74,81,38,59
FW,75,77,76,66,73,35,68
FW,79,71,80,71,77,39,67
