Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
ST,91,97,90,80,92,36,78
CDM,91,66,80,86,84,87,85
CM,91,81,86,86,91,77,75
ST,91,88,92,70,81,45,88
CAM,90,80,87,83,88,78,83
CM,90,82,89,90,91,72,78
WF,90,95,84,81,91,29,69
WF,90,89,87,88,90,47,76
CM,90,67,87,94,87,65,78
ST,90,85,88,74,90,42,83
ST,90,65,93,84,83,49,82
CM,89,70,82,89,89,67,66
GK,89,90,84,73,90,52,87
ST,89,93,86,79,89,45,84
GK,89,86,85,85,89,56,90
GK,89,85,89,76,90,46,88
ST,89,74,89,77,86,39,79
ST,89,82,88,75,87,54,85
CB,89,75,73,83,76,90,82
CB,89,78,60,71,71,89,86
GK,89,86,85,89,91,47,86
WF,89,89,87,82,88,45,75
WF,88,86,86,85,90,57,63
ST,88,85,87,77,84,39,74
WF,88,79,85,87,92,33,64
CAM,88,84,81,87,91,46,68
WF,88,90,85,81,88,56,79
ST,88,80,88,87,89,59,75
CB,88,67,39,70,69,89,87
ST,88,75,88,79,86,44,84
CDM,88,78,82,83,87,85,77
CM,88,88,82,84,84,80,84
GK,88,87,82,91,87,64,86
CM,88,75,78,86,92,71,69
WF,88,82,84,84,88,67,73
CB,88,48,66,71,69,91,84
SMF,88,88,80,85,86,60,66
GK,88,85,90,78,87,46,86
CB,88,71,51,67,68,89,84
CB,88,82,55,73,70,86,86
GK,88,87,82,84,90,42,89
CAM,88,81,78,87,89,50,67
GK,88,87,86,73,89,44,87
CB,87,82,39,70,74,87,83
ST,87,89,84,65,81,42,82
CAM,87,84,81,78,90,63,64
WF,87,85,83,81,88,60,70
ST,87,76,87,75,80,52,90
CAM,87,80,85,84,89,41,65
SB,87,95,76,78,84,81,89
SB,87,89,66,82,87,80,65
WF,87,85,79,84,92,37,60
CDM,87,73,72,82,79,84,85
SMF,87,89,81,80,85,42,71
CM,87,82,69,86,87,77,78
GK,87,84,83,85,88,64,84
CAM,87,70,85,88,83,65,75
CAM,87,86,79,84,87,45,63
ST,87,87,89,81,85,42,73
CB,87,79,56,75,74,89,81
CB,87,75,43,75,76,87,83
CM,87,62,83,85,87,74,73
ST,87,88,88,63,89,21,70
GK,87,84,82,83,86,56,87
CM,87,81,78,83,86,80,82
GK,87,83,84,85,89,50,86
ST,86,77,88,77,80,34,77
