Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
CM,79,64,68,73,79,63,74
CB,78,77,55,70,77,78,83
GK,83,81,80,75,89,53,82
RB,76,57,55,72,67,78,63
CB,75,54,51,63,64,77,75
CDM,75,65,69,74,74,72,73
RB,76,68,74,72,71,74,82
ST,80,85,79,74,79,32,76
GK,87,83,84,85,89,50,86
CDM,83,77,73,82,85,78,75
CAM,87,70,85,88,83,65,75
CB,75,57,36,49,60,76,78
ST,85,70,85,79,85,43,74
CM,77,73,70,76,78,67,71
CM,78,78,71,78,80,67,71
LW,78,73,78,74,78,49,74
CAM,76,76,70,77,81,59,67
CDM,79,70,65,75,78,76,75
CDM,81,72,70,74,78,75,79
CB,79,69,56,69,68,81,77
GK,77,76,74,75,77,44,80
CM,81,55,72,85,77,66,72
CM,79,60,71,82,79,63,69
ST,75,79,76,62,74,40,76
CM,79,81,68,75,80,75,80
LW,85,86,79,80,86,41,71
CM,84,81,80,84,86,72,74
ST,76,79,74,58,78,25,66
RB,76,65,46,70,74,76,67
ST,88,75,88,79,86,44,84
ST,77,73,77,64,74,42,68
RB,76,80,62,69,74,72,74
CM,77,74,74,77,77,66,70
CM,76,67,69,77,79,65,54
CB,75,32,33,57,62,76,78
CB,77,73,56,71,68,78,75
CM,81,72,76,83,80,68,79
GK,75,77,71,70,77,37,72
CM,76,55,71,77,74,69,83
CM,78,75,72,77,80,67,70
GK,79,79,79,69,81,47,78
GK,79,77,78,74,77,54,79
CDM,78,70,65,72,74,76,75
CM,77,77,70,77,80,71,78
LW,81,91,73,74,81,56,72
CDM,76,52,65,74,74,70,74
LB,77,63,70,81,81,73,66
CM,76,72,72,73,81,69,75
RW,86,89,81,79,88,31,64
CB,81,74,43,67,69,81,82
ST,82,74,81,71,81,37,76
CB,78,75,37,51,61,80,76
LB,82,95,66,77,84,72,76
CM,78,69,77,74,76,68,64
LM,76,79,70,71,75,37,60
CAM,80,55,74,83,83,55,69
CM,75,53,74,81,78,61,56
CB,80,36,62,83,77,83,70
ST,84,69,86,71,80,39,79
RB,78,77,54,74,77,77,69
CB,82,64,60,72,65,83,83
RB,77,73,44,65,69,78,74
CM,81,71,81,85,84,65,72
CAM,75,72,68,74,78,48,65
CB,79,64,44,67,64,78,80
CB,79,64,45,62,68,80,77
CB,76,78,36,64,74,76,74
CAM,82,57,82,83,79,55,68
ST,79,69,80,66,74,43,75
CAM,82,73,77,81,83,63,60
CAM,82,85,74,78,85,31,56
RB,78,81,72,79,76,70,80
CDM,83,51,58,72,70,85,80
RW,76,77,75,76,78,38,58
CM,76,53,65,73,71,75,85
CB,78,63,43,60,67,80,84
RB,81,78,66,77,83,77,71
CM,76,64,67,75,80,65,67
LM,78,80,67,75,81,64,64
ST,80,74,80,71,81,46,77
ST,86,69,86,71,78,32,85
LB,76,80,62,76,74,68,78
CAM,82,73,79,81,81,64,72
CAM,81,79,73,76,85,46,56
GK,80,79,78,72,82,37,79
CM,82,84,71,72,83,75,72
RM,80,89,78,77,79,55,54
CM,77,66,67,74,76,62,69
RM,78,89,74,72,78,43,59
CDM,81,65,59,72,76,80,72
CDM,81,66,58,69,72,83,87
CM,80,71,77,76,78,73,86
CB,78,67,50,67,67,78,78
CB,78,52,51,73,72,80,74
CM,79,64,71,75,75,82,83
LM,79,96,73,71,81,34,70
CB,77,70,69,79,76,79,74
CDM,75,54,37,70,62,76,77
ST,82,79,82,73,74,38,82
CM,79,68,71,75,77,72,78
ST,76,68,78,63,73,31,70
ST,76,72,76,64,70,35,77
RB,77,81,51,70,74,72,71
LW,83,73,83,82,87,44,71
CB,78,67,40,60,65,80,75
CAM,76,71,74,77,77,44,61
CB,77,81,48,60,64,76,83
CB,78,69,29,63,69,78,79
CB,77,76,46,60,56,79,77
RW,77,89,67,72,83,35,58
CM,76,61,63,72,76,75,75
CAM,82,66,74,82,83,59,59
LM,76,77,72,71,78,60,64
GK,80,81,76,81,82,48,78
