Position,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality
CB,85,79,71,83,80,85,77
CB,85,82,53,64,62,85,84
LB,85,80,50,78,80,80,71
CAM,85,71,79,85,86,50,70
CB,85,57,50,69,58,86,87
RB,85,71,68,80,79,84,87
ST,85,77,85,76,82,64,76
LW,85,87,78,80,83,45,70
GK,85,85,82,76,84,51,86
CB,85,85,50,69,71,85,82
ST,85,80,85,70,80,46,78
CDM,85,68,75,83,84,79,83
CB,85,73,44,70,73,86,76
RM,85,82,71,82,85,52,68
ST,85,85,84,73,86,39,74
CDM,85,76,65,73,80,85,78
RB,85,84,45,70,75,86,80
RB,85,84,67,82,80,82,77
ST,85,70,85,79,85,43,74
CM,85,72,77,84,87,73,68
CAM,85,71,81,86,86,54,63
RM,85,79,81,81,88,39,62
GK,85,86,83,72,85,48,85
RM,85,84,83,80,84,59,73
LB,85,80,74,80,80,81,82
CM,85,72,79,82,82,83,82
ST,85,82,84,70,85,32,80
CM,85,64,80,81,82,78,88
GK,85,84,83,80,86,63,84
ST,85,93,84,69,81,31,79
ST,85,91,84,78,85,50,85
CDM,85,52,68,72,74,85,90
RM,85,75,82,83,86,50,66
LB,85,78,61,82,79,81,78
ST,85,82,83,69,84,39,72
RM,85,90,83,80,86,37,70
CB,85,61,44,61,69,87,83
CB,85,77,59,70,73,85,82
GK,85,85,82,80,85,41,84
CB,85,69,58,75,79,85,77
CDM,85,73,69,79,78,82,82
ST,85,82,82,75,84,57,79
CDM,85,84,74,81,81,82,82
CDM,85,64,46,81,79,79,74
ST,85,85,83,73,80,50,83
LM,85,93,75,78,86,36,65
CB,85,74,45,73,72,86,76
CB,84,60,50,64,65,86,80
CB,84,78,48,71,75,85,82
CB,84,76,53,72,75,84,77
ST,84,85,84,80,85,57,78
ST,84,81,86,79,86,35,65
RM,84,84,72,85,84,64,69
GK,84,85,84,80,84,45,81
LB,84,70,54,72,73,85,72
LB,84,75,66,81,81,81,85
GK,84,81,82,77,86,38,83
CB,84,67,44,58,65,86,84
LW,84,77,84,84,85,57,77
GK,84,84,83,85,83,40,85
CAM,84,83,82,80,87,57,72
CM,84,74,80,82,87,71,72
ST,84,94,81,70,84,36,78
RW,84,93,83,76,86,52,75
LM,84,89,75,79,87,30,62
CDM,84,57,75,86,77,77,77
CM,84,76,81,84,87,74,72
RM,84,77,78,81,87,46,59
CB,84,62,61,63,67,85,83
CM,84,76,77,83,82,76,82
RW,84,91,79,78,86,53,73
LW,84,90,80,75,87,39,75
LB,84,80,77,84,83,78,81
CB,84,77,60,74,76,85,83
ST,84,84,85,69,79,34,81
CM,84,87,79,83,85,77,80
CB,84,72,61,81,77,86,80
RM,84,93,62,75,86,75,69
CM,84,67,77,85,84,76,68
CM,84,81,80,84,86,72,74
LW,84,76,76,82,88,53,73
CB,84,71,65,80,74,85,82
ST,84,69,86,71,80,39,79
ST,84,90,83,67,80,36,91
RB,84,91,76,80,80,75,78
CAM,84,81,78,81,88,27,77
CDM,84,78,71,84,86,79,63
GK,84,85,80,69,87,40,82
CB,84,68,46,65,63,87,78
CB,84,78,59,75,75,83,83
CAM,84,86,83,78,88,42,59
CB,84,76,48,64,67,85,84
LW,84,78,76,85,88,79,74
LM,84,83,81,78,86,44,75
CB,84,71,59,78,79,85,81
CB,84,63,55,66,66,85,83
GK,84,83,78,82,86,35,83
LB,84,89,64,76,76,81,85
CAM,84,81,81,81,86,60,67
CAM,84,73,77,82,87,50,57
